Flow ID,Flow Name,Trigger/API,Event Produced,Tables/Aggregates,Owner Module,Purpose,Guards,Transaction Boundary,Outbox Rule,Audit Required,Primary Errors,Primary Incident,Acceptance Test
BF-001,Tenant Create,POST /tenants,project_b.tenant.created.v1,tenants|tenant_memberships,PB-M01,"Creates tenant shell, default membership and feature baseline",tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_TENANT_CREATE,INC_TENANT_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-002,Tenant Status Change,PATCH /tenants/{tenant_id}/status,project_b.tenant.status_changed.v1,tenants|tenant_suspensions,PB-M01,Suspends/reactivates tenant and blocks writes where suspended,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_TENANT_STATUS_CHANGE,INC_TENANT_STATUS_CHANGE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-003,Role Assignment,POST /roles,project_b.role.assigned.v1,tenant_role_assignments,PB-M02,Assigns tenant-scoped role with audit,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_ROLE_ASSIGNMENT,INC_ROLE_ASSIGNMENT,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-004,Access Check,POST /access/check,project_b.access.checked.v1,access_decision_cache|audit_event,PB-M02,Calls Core and caches non-authoritative decision,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_ACCESS_CHECK,INC_ACCESS_CHECK,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-005,Blueprint Draft Create,POST /blueprints/drafts,project_b.blueprint.draft_created.v1,tenant_app_blueprints,PB-M03,Creates mutable draft blueprint,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_BLUEPRINT_DRAFT_CREATE,INC_BLUEPRINT_DRAFT_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-006,Blueprint Publish,POST /blueprints/{id}/publish,project_b.blueprint.published.v1,tenant_app_blueprints|publication_record,PB-M03,Validates and publishes immutable blueprint version,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_BLUEPRINT_PUBLISH,INC_BLUEPRINT_PUBLISH,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-007,Branding Upsert,PUT /branding/theme,project_b.branding.updated.v1,tenant_branding,PB-M04,Persists tenant theme and emits branding update,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_BRANDING_UPSERT,INC_BRANDING_UPSERT,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-008,Journey Draft Create,POST /journeys/drafts,project_b.journey.draft_created.v1,journey_drafts|journey_steps,PB-M05,Creates draft journey,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_JOURNEY_DRAFT_CREATE,INC_JOURNEY_DRAFT_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-009,Journey Validate,POST /journeys/drafts/{id}/validate,project_b.journey.validated.v1,journey_drafts|canonical_validation_result_cache,PB-M05/PB-M15,"Validates refs, rules and publish gates",tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_JOURNEY_VALIDATE,INC_JOURNEY_VALIDATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-010,Journey Publish,POST /journeys/drafts/{id}/publish,project_b.journey.published.v1,journey_versions|publication_record,PB-M05,Publishes immutable journey version,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_JOURNEY_PUBLISH,INC_JOURNEY_PUBLISH,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-011,Content Asset Upload,POST /content/assets,project_b.content.asset_uploaded.v1,content_assets,PB-M06,Stores asset metadata and manifest,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_CONTENT_ASSET_UPLOAD,INC_CONTENT_ASSET_UPLOAD,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-012,Canonical Ref Validation Batch,POST /canonical/ref-validations:batch,project_b.canonical_ref.validated.v1,canonical_validation_request_log|canonical_validation_result_cache,PB-M15,Batches canonical ref validation; does not own canonical truth,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_CANONICAL_REF_VALIDATION_BATCH,INC_CANONICAL_REF_VALIDATION_BATCH,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-013,Lead Create,POST /leads,project_b.lead.created.v1,leads|prospects,PB-M13,Creates tenant-scoped lead,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_LEAD_CREATE,INC_LEAD_CREATE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
BF-014,Discovery Call Schedule,POST /discovery-calls,project_b.discovery_call.scheduled.v1,booking_request|discovery_call|calendar_event_ref,PB-M13,Schedules discovery call through adapter,tenant_id + actor_ref + role + feature + idempotency + adapter availability,single DB transaction for mutation + audit + outbox insert,event only published after commit; consumers idempotent,YES,PB_ERR_DISCOVERY_CALL_SCHEDULE,INC_DISCOVERY_CALL_SCHEDULE,unit guard + integration transaction/outbox + contract + E2E happy/forbidden
