Control ID,Capability ID,Capability Name,Security Domain,Control Name,ASVS / Reference Area,Verification Statement,Primary Surface(s),API / Command Scope,Expected Denial/Error,Evidence Required,Test Type,Test ID,Owner,Status
PB-SEC-001-01,B-001,First-party Coaching Mode,AUTHN,Authentication boundary,V2,verify authenticated actor and expired/invalid token behavior,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,contract + integration,TST-SEC-B-001-AUTHN,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-02,B-001,First-party Coaching Mode,AUTHZ,Role/permission enforcement,V4,verify role matrix and forbidden transitions,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,unit + integration,TST-SEC-B-001-AUTHZ,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-03,B-001,First-party Coaching Mode,TENANT,Tenant isolation,V4,verify tenant_id scoping and cross-tenant denial,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,security + e2e,TST-SEC-B-001-TENANT,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-04,B-001,First-party Coaching Mode,RLS,Row-level security,V4,verify RLS denies cross-tenant read/write at DB layer,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,db security,TST-SEC-B-001-RLS,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-05,B-001,First-party Coaching Mode,INPUT,Input validation,V5,"verify schema, enum, size and unsafe content constraints",ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,contract + property,TST-SEC-B-001-INPUT,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-06,B-001,First-party Coaching Mode,OUTPUT,Sensitive output filtering,V9,verify PII/minimized admin detail and no internal stack traces,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,security + snapshot,TST-SEC-B-001-OUTPUT,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-07,B-001,First-party Coaching Mode,AUDIT,Audit evidence,V10,verify mutation/denial/audit rows and correlation ids,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,integration,TST-SEC-B-001-AUDIT,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-08,B-001,First-party Coaching Mode,EVENT,Outbox/event integrity,V14,verify mutation+outbox same transaction and idempotent consumers,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,integration,TST-SEC-B-001-EVENT,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-09,B-001,First-party Coaching Mode,WEBHOOK,Webhook authenticity,V2/V4,verify signature/timestamp/replay protection,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,security + integration,TST-SEC-B-001-WEBHOOK,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
PB-SEC-001-10,B-001,First-party Coaching Mode,ADMIN,Support/admin safeguards,V4/V10,"verify support-session reason, scoped access and audit",ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,PB_ERR_TENANT_SCOPE_DENIED,automated test + audit row + log/metric sample where applicable,e2e + audit,TST-SEC-B-001-ADMIN,Security Reviewer + Backend Owner,REQUIRED_FOR_HANDOFF
