Screen ID,Surface,Screen Name,Purpose,Allowed Roles,Primary Data Objects,Primary API / Source,Security Constraint,Audit / Telemetry,Loading State,Empty State,Error State,Forbidden State,Success State,Incident Hooks
OPS-001,Platform Ops,Ops Command Center,"Unified operational landing page for incidents, provider status, queues and risk signals","Platform Admin,Support Operator","System health, incident queue, outbox lag, provider status",/support/cases;/tenants;/outbox/events,read-only + privileged actions through support sessions,screen_view; ops_dashboard_opened,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_OPS_COMMAND_CENTER
OPS-002,Platform Ops,Tenant Search,"Find tenant by id, slug, brand, owner, status without leaking tenant data","Platform Admin,Support Operator","tenant, tenant_branding, tenant_status",/tenants,support_session_ref required for tenant detail drilldown,tenant_search,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_TENANT_SEARCH
OPS-003,Platform Ops,Tenant Detail,"Inspect tenant state, branding, feature config, suspension and blueprint status","Platform Admin,Support Operator","tenant, feature_config, active_blueprint",/tenants/{tenant_id}/context,tenant_id scoped; support session required,tenant_detail_viewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_TENANT_DETAIL
OPS-004,Platform Ops,Tenant Suspension / Reactivation,"Suspend/reactivate tenant with reason, blast radius and rollback note",Platform Admin,"tenant, tenant_suspension",PATCH /tenants/{tenant_id}/status,four-eye optional; audit mandatory,tenant_status_changed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_TENANT_SUSPENSION_REACTIVATION
OPS-005,Platform Ops,Actor / Identity Lookup,"Resolve actor_ref, membership and roles without owning identity truth","Platform Admin,Support Operator","external_identity_ref, tenant_membership",/tenants/{tenant_id}/roles,Core identity remains truth,actor_lookup,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_ACTOR_IDENTITY_LOOKUP
OPS-006,Platform Ops,Access / Entitlement Inspector,Inspect Core access decision envelope and non-authoritative Project-B cache,"Platform Admin,Support Operator","access_decision_cache, entitlement_ref",/tenants/{tenant_id}/access/check,no local entitlement truth mutation,access_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_ACCESS_ENTITLEMENT_INSPECTOR
OPS-007,Platform Ops,Consent Inspector,Check notification/message/community consent reference and denial cause,Support Operator,"consent_ref, notification_preference_ref",Core/Identity consent adapter,read-only unless external provider supports update,consent_inspected,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_CONSENT_INSPECTOR
OPS-008,Platform Ops,Feature Configuration Console,View and edit tenant feature flags and capability enablement,"Platform Admin,Tenant Admin",tenant_feature_config,/tenants/{tenant_id}/blueprints/drafts,tenant admin only within tenant; platform admin support session,feature_config_changed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_FEATURE_CONFIGURATION_CONSOLE
OPS-009,Platform Ops,Blueprint Publish Console,Validate and publish tenant app blueprint with preview diff,"Tenant Admin,Platform Admin","tenant_app_blueprint, blueprint_version",/blueprints/{blueprint_id}/publish,publish guard + validation result required,blueprint_publish_attempt,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_BLUEPRINT_PUBLISH_CONSOLE
OPS-010,Platform Ops,Branding Theme Preview,"Preview tenant branding across public, coach, client and admin shells",Tenant Admin,tenant_branding,/branding/theme,no cross-tenant asset load,branding_previewed,Skeleton + provider status; no stale cross-tenant data,Explain missing operational data and next action,Safe error with correlation_id + privileged detail drawer,Forbidden without disclosing resource existence,"Action confirmed, projection refreshed, audit linked",INC_BRANDING_THEME_PREVIEW
