Incident ID,Title,Severity,Detection Signal,Primary Owner,Immediate Containment,Primary Admin Screens,Related Errors,Runbook File
INC_BLUEPRINT_PUBLISH_FAILURE,Blueprint publish fails or blocks tenant launch,SEV3,blueprint_publish_failed_total > threshold; repeated PB_ERR_BLUEPRINT_PUBLISH_GUARD_FAILED,Tenant Admin + Support Operator,"Hold publish, inspect validation result, fix config, retry publish","Blueprint Publish Console, Config Drift Dashboard",PB_ERR_BLUEPRINT_DRAFT_INVALID|PB_ERR_BLUEPRINT_PUBLISH_GUARD_FAILED|PB_ERR_JOURNEY_PUBLISH_VALIDATION_FAILED|PB_ERR_OUTBOX_PUBLISH_FAILED,runbooks/INC_BLUEPRINT_PUBLISH_FAILURE.md
INC_TENANT_CONFIG_LEAK_SUSPECT,Tenant config appears visible across tenant boundary,SEV1,tenant_scope_denied_total spike; report from user/admin; inconsistent tenant_id in logs,Incident Commander + Security Reviewer,"Freeze affected tenant ops, inspect audit, verify RLS, revoke support sessions, evidence package","Tenant Detail, Audit Log Explorer, Policy Violation Viewer",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_TENANT_SUSPENDED|PB_ERR_CONFIG_DRIFT_DETECTED,runbooks/INC_TENANT_CONFIG_LEAK_SUSPECT.md
INC_PAYMENT_WEBHOOK_FAILURE,Payment provider webhook failures or invalid signatures,SEV2,payment_webhook_invalid_sig_total or webhook ordering gap,Platform Admin + Finance/Ops,"Pause activation, verify provider secret/config, inspect webhook log, replay safe events","Payment Webhook Monitor, Checkout Inspector",PB_ERR_PAYMENT_WEBHOOK_SIGNATURE_INVALID|PB_ERR_PAYMENT_EVENT_DUPLICATE|PB_ERR_PAYMENT_CONFIRMATION_MISSING|PB_ERR_WEBHOOK_ORDERING_GAP,runbooks/INC_PAYMENT_WEBHOOK_FAILURE.md
INC_PAYMENT_RECONCILIATION_DRIFT,Payment provider ledger and Project-B payment refs diverge,SEV2,payment confirmed at provider but not in Project-B or duplicate state,Finance/Ops + Incident Commander,"Run reconciliation, mark disputed records, block activation until resolved","Payment Webhook Monitor, Revenue Dashboard",PB_ERR_PAYMENT_WEBHOOK_SIGNATURE_INVALID|PB_ERR_PAYMENT_EVENT_DUPLICATE|PB_ERR_PAYMENT_CONFIRMATION_MISSING,runbooks/INC_PAYMENT_RECONCILIATION_DRIFT.md
INC_AGREEMENT_SYNC_FAILURE,Agreement provider status missing or inconsistent,SEV3,agreement_provider_unavailable or agreement_required spike,Tenant Admin + Support Operator,"Verify provider health, manually inspect agreement ref, block activation if unsigned",Agreement Status Monitor,PB_ERR_AGREEMENT_REQUIRED|PB_ERR_AGREEMENT_PROVIDER_UNAVAILABLE,runbooks/INC_AGREEMENT_SYNC_FAILURE.md
INC_CORE_ACCESS_UNAVAILABLE,Core access adapter unavailable,SEV2,core_access_unavailable_total above threshold,Platform Admin + Incident Commander,"Deny-by-default for sensitive ops, communicate degraded access, retry adapter, open Core incident","Access Inspector, Dependency Status",PB_ERR_CORE_ACCESS_UNAVAILABLE|PB_ERR_CORE_ACCESS_DENIED,runbooks/INC_CORE_ACCESS_UNAVAILABLE.md
INC_ENROLLMENT_DESYNC,"Assignment, enrollment and access state inconsistent",SEV2,client cannot access assigned journey; enrollment state mismatch,Support Operator + Coach,"Inspect assignment/enrollment/access, rebuild projection, request Core check","Enrollment Inspector, Member Home Projection Inspector",PB_ERR_ENROLLMENT_NOT_ACTIVE,runbooks/INC_ENROLLMENT_DESYNC.md
INC_DELIVERY_PROJECTION_STALE,Member home or delivery projection stale beyond SLO,SEV3,projection lag > SLO; stale_projection_total spike,Platform Admin,"Rebuild projection, inspect worker checkpoint, monitor outbox",Projection Checkpoint Monitor,PB_ERR_STALE_PROJECTION|PB_ERR_DELIVERY_LOCKED|PB_ERR_PROJECTION_REBUILD_FAILED,runbooks/INC_DELIVERY_PROJECTION_STALE.md
INC_NOTIFICATION_PROVIDER_OUTAGE,Notification provider degraded or failing,SEV3,notification_provider_failed_total above threshold,Support Operator + Platform Admin,"Suppress retries if provider down, keep schedule state, communicate delay",Notification Delivery Monitor,PB_ERR_AGREEMENT_PROVIDER_UNAVAILABLE|PB_ERR_NOTIFICATION_CONSENT_DENIED|PB_ERR_NOTIFICATION_PROVIDER_FAILED|PB_ERR_CALENDAR_PROVIDER_UNAVAILABLE,runbooks/INC_NOTIFICATION_PROVIDER_OUTAGE.md
INC_MESSAGE_DELIVERY_FAILURE,Coach/client messages not delivered or stuck,SEV3,message send fails or notification delivery fails,Support Operator,"Inspect thread, notification state, provider status, retry allowed events","Message Audit, Notification Monitor",PB_ERR_DELIVERY_LOCKED|PB_ERR_MESSAGE_THREAD_FORBIDDEN,runbooks/INC_MESSAGE_DELIVERY_FAILURE.md
