Prompt ID,Title,Objective,Related Capabilities,Allowed Source Packs,Forbidden,Expected Output,Stop Conditions
PB-CURSOR-001,Tenant App Blueprint,Implement/patch tenant app blueprint configuration and activation flow,B-001|B-011|B-021,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-002,Feature Configuration,"Implement feature config controls, guards and tests",B-002|B-012|B-022,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-003,Onboarding Flow,Implement onboarding flow states and questions,B-003|B-013|B-023,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-004,Member Area / Client Portal,"Implement member home, next step and delivery projection shell",B-004|B-014|B-024,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-005,Journey Authoring,Implement journey draft/step authoring shell and validation hooks,B-005|B-015|B-025,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-006,Assignment / Enrollment,"Implement assignment, enrollment and access-allow request flow",B-006|B-016|B-026,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-007,Progress / Next Step,"Implement progress, reflection and next-step projections",B-007|B-017|B-027,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-008,Notifications,"Implement notification scheduling, consent suppression and provider attempt shell",B-008|B-018|B-028,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-009,Messaging / Coach Messages,Implement coach/client messaging and intervention skeleton,B-009|B-019|B-029,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-010,Community / Moderation,"Implement community spaces, posts, reports and moderation queue",B-010|B-020,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-011,Offers / Plans / Bundles,"Implement offer, plan, bundle and eligibility scaffolding",B-011|B-021,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
PB-CURSOR-012,Lead / Discovery / Payment / Agreement,Implement commercial conversion path and activation hooks,B-012|B-022,"G1-G4, G5-G9, Enterprise Architecture v0.2, OpenAPI/Event/Data packs","do not invent ownership, API, events, tables, roles or product scope",code/docs/tests/patches as specified in prompt,"missing contract, ambiguous ownership, security boundary conflict, G7 patch contradiction"
