story_id,capability_patch,actor,user_story,acceptance_criteria,edge_cases,screen_refs,api_refs,event_refs,test_ids
JH-US-001,Manual Provisioning,Platform Owner,"As a platform owner, I want to create a client manually so that I can onboard pilot or offline clients without payment checkout.",Client profile draft can be created; duplicate detection runs; tenant scope enforced; draft is auditable.,duplicate email; missing contact; tenant suspended,MCP Wizard,PATCH-API-001,client.provisioning_draft_created.v1,"JH-T001,JH-T002"
JH-US-002,Manual Provisioning,Tenant Admin,"As a tenant admin, I want to assign a primary coach during client setup so that accountability is clear before invite.",Only tenant coaches can be assigned; previous assignment preserved on reassignment; audit exists.,coach removed; coach outside tenant; reassignment mid-program,Coach Assignment Step,PATCH-API-002,client.coach_assigned.v1,JH-T003
JH-US-003,Manual Provisioning,Platform Owner,"As a platform owner, I want to set a manual commercial gate with a reason so that no-charge or offline clients can access without hidden entitlement bypass.",Reason required; gate visible in audit; Core access requested only after gate passes.,missing reason; revoked plan; no entitlement rule,Commercial Gate Step,PATCH-API-003,client.commercial_gate_set.v1,JH-T004
JH-US-004,Manual Provisioning,Tenant Admin,"As a tenant admin, I want to verify provisioning status so that I know whether the client can open the app and see the first step.","Status shows invite, Core access, assignment, delivery plan and first login readiness.",Core pending; delivery failed; invite bounced,Provisioning Review,PATCH-API-004,client.provisioning_verified.v1,JH-T005
JH-US-005,Journey Templates,Coach,"As a coach, I want to clone a journey template into my tenant so that I can adapt it without changing the source template.",Clone creates draft; source remains immutable; validation warnings shown; canonical refs revalidated.,deprecated template; restricted refs; clone failure,Template Clone Wizard,PATCH-API-006,journey_template.cloned.v1,JH-T006
JH-US-006,Cohorts,Coach,"As a coach, I want to create a cohort from a program template so that a group can move through shared content together.",Cohort created; schedule configured; group delivery plan can be materialized; members tracked.,rolling vs fixed start; empty cohort; timezone mismatch,Cohort Program Builder,PATCH-API-007,cohort.created.v1,JH-T007
JH-US-007,Cohorts,Coach,"As a coach, I want to add clients to a cohort so that they receive group-program delivery and progress tracking.",Client tenant matches; membership created; enrollment linked; delivery plan materialized.,client already in cohort; entitlement missing; cohort closed,Add Member Wizard,PATCH-API-008,cohort.member_added.v1,JH-T008
JH-US-008,Branching,Coach,"As a coach, I want to create conditional branch rules so that clients can receive different paths based on intake or progress.",Rule validates against schema; target exists; fallback required; publish blocks invalid rules.,orphan target; conflicting priority; invalid operator,Branch Rule Editor,PATCH-API-009,journey.branch_rule_activated.v1,JH-T009
JH-US-009,Branching,Platform Support,"As platform support, I want to inspect why a client saw a branch so that I can debug delivery without exposing private internals to the client.","Trace includes rule, input snapshot, effect and actor/system source; tenant scoped; audit logged.",trace missing; restricted data; deleted rule,Rule Trace Inspector,PATCH-API-009,journey.branch_rule_evaluated.v1,JH-T010
JH-US-010,Client App Integration,Client,"As a client, I want to see a clear next step even when the journey branches so that I never experience the app as broken.","Client sees next step, locked state, coach review pending, or completion state; no raw rule terms shown.",pending review; no step available; revoked access,Dynamic Next Step View,member-home delivery endpoints,delivery.path_changed.v1,JH-T011
