Capability ID,Capability Name,Domain,Primary Persona,Concrete Product Job,Operating Mode,Primary UI Screens,Primary Backend Modules,Owned/Referenced Data Objects,Commands,Queries,API Endpoint Family,Domain Events,Rules / Guards,Tenant / RLS Requirement,Audit Evidence,Error Codes,Incident Types,Acceptance Criteria,Required Test Cases,Cursor Prompt ID,Implementation Slice,Source Truth,Gap Status v1.0
B-001,First-party Coaching Mode,Tenant/Product Mode,Platform Owner,Founder sells own coaching app using own journeys/protocols/content,first_party|white_label|hybrid,ADM-001|ADM-002|ADM-011|CL-004|CS-001,"Tenant App Blueprint, Branding, Journey Delivery",tenant_app_blueprint|tenant_branding|journey_version,activate_blueprint|publish_journey,get/list/search relevant resources with tenant_id and actor_ref guards,/tenant-blueprints/{id}/activate,"tenant.blueprint_activated, journey.version_published",One first-party tenant config; no bypass of Core access; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,"blueprint_activation, publish_audit|policy_decision_logged|correlation_id_required",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,INC_BLUEPRINT_PUBLISH_FAILURE|INC_TENANT_CONFIG_LEAK_SUSPECT,"B-001 supports tenant-scoped happy path for First-party Coaching Mode || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",First-party blueprint E2E|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-001,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-002,White-label / Tenant Mode,Tenant/Product Mode,Tenant Admin,External coach/studio uses same platform with own brand/content/offers,first_party|white_label|hybrid,ADM-001|ADM-003|ADM-005|OPS-001|OPS-006,"Tenant Management, Branding, Content Ownership",tenant|tenant_branding|content_space,create_tenant|update_branding,get/list/search relevant resources with tenant_id and actor_ref guards,/tenants,"tenant.created, tenant.branding_updated",Tenant isolation mandatory; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,"tenant_created, branding_changed|policy_decision_logged|correlation_id_required",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,INC_BLUEPRINT_PUBLISH_FAILURE|INC_TENANT_CONFIG_LEAK_SUSPECT,"B-002 supports tenant-scoped happy path for White-label / Tenant Mode || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Tenant A cannot read Tenant B|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-001,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-003,Coach Studio Web SaaS,Coach Studio,Coach / Tenant Admin,Coach/admin authors and manages journeys/content/clients/offers,tenant_runtime,CS-001|CS-005|CS-007|CS-017|CS-018,"Coach Studio Authoring, Commercial Overlay",coach_profile|journey_draft|content_item|offer,create_journey_draft|create_offer,get/list/search relevant resources with tenant_id and actor_ref guards,/coach/dashboard,"journey.draft_created, offer.created",Role-gated coach/admin only; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,"authoring_change, offer_change|policy_decision_logged|correlation_id_required",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,INC_AUDITABLE_SUPPORT_CASE,"B-003 supports tenant-scoped happy path for Coach Studio Web SaaS || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Unauthorized coach denied|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-013,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-004,Branded Client App,Client App,Client,Client consumes branded journey/member experience,tenant_runtime,CL-004|CL-005|CL-006|CL-009|CL-012,"Member Home, Delivery Runtime",member_home_projection|delivery_plan_projection,get_member_home|materialize_delivery,get/list/search relevant resources with tenant_id and actor_ref guards,/member-home,"member_home.rebuilt, delivery.plan_materialized",Client only sees own tenant and assignments; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,member_access_denied|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,INC_AUDITABLE_SUPPORT_CASE,"B-004 supports tenant-scoped happy path for Branded Client App || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Client cannot view other client home|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-004,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-005,Tenant App Blueprint,Tenant Blueprint,Tenant Admin,"Configures feature set, content mode, branding, onboarding and delivery mode",first_party|white_label|hybrid,ADM-003|ADM-004|ADM-011|OPS-003|OPS-006,Tenant Blueprint / Solution Catalog,tenant_app_blueprint|feature_config,activate_blueprint|validate_blueprint,get/list/search relevant resources with tenant_id and actor_ref guards,/tenant-blueprints,tenant.blueprint_activated,Only one active blueprint per tenant; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,blueprint_activation|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,INC_BLUEPRINT_PUBLISH_FAILURE|INC_TENANT_CONFIG_LEAK_SUSPECT,"B-005 supports tenant-scoped happy path for Tenant App Blueprint || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Blueprint dependency failure test|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-001,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-006,Feature Configuration,Tenant Blueprint,Tenant Admin,Tenant selects enabled/disabled feature modules,first_party|white_label|hybrid,ADM-004|ADM-011|CS-001|OPS-003,Feature Catalog,tenant_feature_config|feature_dependency,update_feature_config,get/list/search relevant resources with tenant_id and actor_ref guards,/feature-configurations,tenant.feature_config_updated,No feature without dependency and entitlement; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,feature_config_change|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,INC_BLUEPRINT_PUBLISH_FAILURE|INC_TENANT_CONFIG_LEAK_SUSPECT,"B-006 supports tenant-scoped happy path for Feature Configuration || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Dependency matrix test|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-002,MVP-S0,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-007,Branding / Theme,Branding,Tenant Admin,Tenant can brand app without changing core truth,first_party|white_label|hybrid,ADM-005|CL-004|CS-001|OPS-006,Branding Surface Composition,tenant_branding|theme_token,update_branding,get/list/search relevant resources with tenant_id and actor_ref guards,/tenant-branding,tenant.branding_updated,Branding cannot imply clinical/safety claims; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,branding_changed|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,INC_BLUEPRINT_PUBLISH_FAILURE|INC_TENANT_CONFIG_LEAK_SUSPECT,"B-007 supports tenant-scoped happy path for Branding / Theme || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Theme fetch tenant-scoped|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-001,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-008,Onboarding Flow,Onboarding,Client + Tenant Admin,Tenant/coach defines guided client onboarding,tenant_runtime,ADM-006|CL-001|CL-002|CL-003|OPS-005,Onboarding Composer,onboarding_flow|onboarding_step|onboarding_submission,publish_onboarding_flow|submit_onboarding,get/list/search relevant resources with tenant_id and actor_ref guards,/onboarding-flows,"onboarding.flow_published, onboarding.submitted",Consent and eligibility gates before sensitive asks; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,onboarding_submitted|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_BLUEPRINT_VALIDATION_FAILED|PB_ERR_FEATURE_DEPENDENCY_MISSING,INC_AUDITABLE_SUPPORT_CASE,"B-008 supports tenant-scoped happy path for Onboarding Flow || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Sensitive question requires consent|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-003,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-009,Member Area / Client Portal,Member Area,Client,"Client portal for assignments, next unit, resources and progress",tenant_runtime,CL-004|CL-005|CL-009|CL-015|OPS-003,"Member Home, Content Delivery",member_area_config|content_assignment|progress_summary,get_member_area|assign_content,get/list/search relevant resources with tenant_id and actor_ref guards,/member-home,"content.assigned, member_home.rebuilt",Gated by entitlement and assignment; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,content_access_denied|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_ENTITLEMENT_DENIED|PB_ERR_ACCESS_REVOKED,INC_ENROLLMENT_DESYNC|INC_ACCESS_DECISION_MISMATCH,"B-009 supports tenant-scoped happy path for Member Area / Client Portal || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",No entitlement no content|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-004,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
B-010,Journey Authoring / Versioning,Journey,Coach,Coach authors typed versioned journey programs,tenant_runtime,CS-007|CS-008|CS-009|OPS-006,Journey Authoring,journey_draft|journey_version|journey_phase|journey_step,create_journey_draft|publish_journey_version,get/list/search relevant resources with tenant_id and actor_ref guards,/journeys,"journey.draft_created, journey.version_published",Draft cannot be assigned; published immutable; deny-by-default; tenant_id required; audit on privileged action,Every row with tenant-owned data carries tenant_id; support/admin reads require scoped audited support_session_ref; client rows must bind actor_ref/client_ref.,journey_publish|policy_decision_logged|correlation_id_required,PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED|PB_ERR_PUBLISH_VALIDATION_FAILED|PB_ERR_CANONICAL_REF_INVALID,INC_AUDITABLE_SUPPORT_CASE,"B-010 supports tenant-scoped happy path for Journey Authoring / Versioning || unauthorized actor is denied before mutation || forbidden cross-tenant access returns forbidden state and audit event || successful mutation emits expected domain event when applicable || UI exposes loading, empty, error, forbidden and success states || contract tests cover primary API endpoint and validation errors",Draft assignment denied|tenant_isolation|forbidden_state|audit_event|contract_validation|screen_state_render,PB-CURSOR-005,MVP-S1,Product Model Freeze|Feature Catalog|Tenant Blueprint|Enterprise Architecture Design Bundle v0.2|Closure Plan v0.3,CLOSED_FOR_G1_G4__REQUIRES_G5_G14_RECONCILIATION
