Screen ID,Surface,Screen Name,Purpose,Capabilities,Primary Data,Primary API,Happy State,Loading State,Empty State,Error State,Forbidden State,Success State,Audit / Telemetry,Accessibility Baseline,Security Constraint
PUB-001,Public,Landing / Offer Context,Prospect understands the offer and conversion path,B-019|B-021|B-017,lead|prospect;booking_request|discovery_call;plan|bundle|offer|entitlement_activation_ref,/leads;/booking-requests;/offers,Landing / Offer Context renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
PUB-002,Public,Lead Intake,Prospect submits qualified lead data,B-019,lead|prospect,/leads,Lead Intake renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
PUB-003,Public,Discovery Booking,Prospect books discovery call,B-021|B-026,booking_request|discovery_call;calendar_connection|calendar_event_ref,/booking-requests;/calendar-integrations,Discovery Booking renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
PUB-004,Public,Checkout / Payment Handoff,Prospect starts/returns from checkout,B-022|B-017,checkout_session|payment_record_ref;plan|bundle|offer|entitlement_activation_ref,/checkout-sessions;/offers,Checkout / Payment Handoff renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
PUB-005,Public,Agreement Status Handoff,Agreement required/signed/pending is shown,B-023,agreement_status|agreement_record_ref,/agreements,Agreement Status Handoff renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-001,Tenant Admin,Tenant Setup Home,Tenant admin sees setup readiness,B-001|B-002|B-005,tenant_app_blueprint|tenant_branding|journey_version;tenant|tenant_branding|content_space;tenant_app_blueprint|feature_config,/tenant-blueprints/{id}/activate;/tenants;/tenant-blueprints,Tenant Setup Home renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-002,Tenant Admin,Solution Pack Selector,Tenant selects app template/solution pack,B-001|B-005,tenant_app_blueprint|tenant_branding|journey_version;tenant_app_blueprint|feature_config,/tenant-blueprints/{id}/activate;/tenant-blueprints,Solution Pack Selector renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-003,Tenant Admin,Blueprint Configuration,Tenant blueprint mode/content/member/community/offers configured,B-005,tenant_app_blueprint|feature_config,/tenant-blueprints,Blueprint Configuration renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-004,Tenant Admin,Feature Configuration,Feature states and dependencies configured,B-006,tenant_feature_config|feature_dependency,/feature-configurations,Feature Configuration renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
ADM-005,Tenant Admin,Branding Theme,Branding applied without taxonomy changes,B-007,tenant_branding|theme_token,/tenant-branding,Branding Theme renders tenant-scoped actionable content with current projection timestamp.,Skeleton with tenant/app chrome; no stale cross-tenant content; cancellable/retry-safe fetch.,Explains why no data exists and offers role-appropriate next action; no fake demo content.,Displays safe message with correlation_id; admin/coach details only in privileged surfaces.,Access denied state; explains missing permission/entitlement without leaking resource existence.,"Confirms action, updates projection or list, emits audit/telemetry where applicable.",screen_view; action_attempt; action_success/failure; correlation_id; tenant_id; actor_ref.,WCAG 2.2 AA target; keyboard reachable; visible focus; form errors tied to fields; no color-only state.,All reads/writes scoped by tenant_id + actor_ref; privileged support requires support_session_ref.
