Capability ID,Capability Name,API Family Requested,API Coverage,Event Family Requested,Event Coverage,Data Objects Requested,Data Coverage,Runtime/Guard Coverage,Reconciliation Status,Required Patch / Action
B-001,First-party Coaching Mode,/tenant-blueprints/{id}/activate,PATCH_REQUIRED,"tenant.blueprint_activated, journey.version_published",MATCH:project_b.journey.version_published.v1,tenant_app_blueprint|tenant_branding|journey_version,"MATCH:tenants,tenants,journey_versions",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-002,White-label / Tenant Mode,/tenants,MATCH:/project-b/v1/tenants,"tenant.created, tenant.branding_updated",MATCH:project_b.tenant.created.v1,tenant|tenant_branding|content_space,"MATCH:tenants,tenants,content_spaces",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-003,Coach Studio Web SaaS,/coach/dashboard,MATCH:/project-b/v1/tenants/{tenant_id}/dashboards/coach,"journey.draft_created, offer.created",MATCH:project_b.offer.created.v1,coach_profile|journey_draft|content_item|offer,"MATCH:journey_drafts,content_items,offers",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-004,Branded Client App,/member-home,PATCH_REQUIRED,"member_home.rebuilt, delivery.plan_materialized",PATCH_REQUIRED,member_home_projection|delivery_plan_projection,"MATCH:member_home_projections,delivery_plans",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-005,Tenant App Blueprint,/tenant-blueprints,PATCH_REQUIRED,tenant.blueprint_activated,PATCH_REQUIRED,tenant_app_blueprint|feature_config,"MATCH:tenants,tenant_feature_configs",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-006,Feature Configuration,/feature-configurations,PATCH_REQUIRED,tenant.feature_config_updated,PATCH_REQUIRED,tenant_feature_config|feature_dependency,MATCH:tenants,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-007,Branding / Theme,/tenant-branding,PATCH_REQUIRED,tenant.branding_updated,PATCH_REQUIRED,tenant_branding|theme_token,MATCH:tenants,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-008,Onboarding Flow,/onboarding-flows,PATCH_REQUIRED,"onboarding.flow_published, onboarding.submitted",PATCH_REQUIRED,onboarding_flow|onboarding_step|onboarding_submission,MATCH:onboarding_flows,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-009,Member Area / Client Portal,/member-home,PATCH_REQUIRED,"content.assigned, member_home.rebuilt",PATCH_REQUIRED,member_area_config|content_assignment|progress_summary,MATCH:assignments,MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-010,Journey Authoring / Versioning,/journeys,MATCH:/project-b/v1/tenants/{tenant_id}/journeys/drafts,"journey.draft_created, journey.version_published",MATCH:project_b.journey.version_published.v1,journey_draft|journey_version|journey_phase|journey_step,"MATCH:journey_drafts,journey_versions,journey_phases,journey_steps",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-011,Content Management / Delivery,/content-spaces,PATCH_REQUIRED,"content.item_created, content.canonical_ref_bound",PATCH_REQUIRED,content_space|content_collection|content_item|canonical_ref_binding,"MATCH:content_spaces,content_collections,content_items,canonical_ref_bindings",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-012,Assignment / Enrollment,/assignments,MATCH:/project-b/v1/tenants/{tenant_id}/clients/{client_id}/assignments,"journey.assigned, enrollment.started",PATCH_REQUIRED,assignment|enrollment|enrollment_status,"MATCH:assignments,enrollments,enrollments",MATCH:runtime_guard_policy_matrix,PATCH_REQUIRED,"Add or align missing OpenAPI endpoint, event schema, table/object mapping or runtime guard."
B-013,Progress / Next Step,/progress,MATCH:/project-b/v1/tenants/{tenant_id}/enrollments/{enrollment_id}/progress,"task.completed, reflection.submitted",MATCH:project_b.reflection.submitted.v1,step_completion|reflection_entry|progress_projection,MATCH:step_completions,MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
B-014,Notifications,/notifications,MATCH:/project-b/v1/tenants/{tenant_id}/notifications/schedules,"notification.scheduled, notification.sent","MATCH:project_b.notification.scheduled.v1,project_b.notification.sent.v1",notification_template|schedule|delivery_attempt,"MATCH:notification_templates,notification_schedules,notification_delivery_attempts",MATCH:runtime_guard_policy_matrix,PASS,No patch required; verify in contract tests.
