Story ID,Capability ID,Capability Name,Story Type,Actor,As a,I want,So that,Preconditions,Main Flow,Acceptance Criteria,Edge Cases,Primary Screens,APIs,Events,Errors,Tests,Cursor Prompt,Slice,Status
US-001-CONFIG,B-001,First-party Coaching Mode,CONFIG,Platform Owner,Platform Owner,configure and operate First-party Coaching Mode,the platform can deliver First-party Coaching Mode in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-002|ADM-011|CL-004|CS-001) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-001 supports tenant-scoped happy path for First-party Coaching Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,"tenant.blueprint_activated, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-001-RUNTIME,B-001,First-party Coaching Mode,RUNTIME,Platform Owner,Platform Owner,use First-party Coaching Mode in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-002|ADM-011|CL-004|CS-001) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-001 supports tenant-scoped happy path for First-party Coaching Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,"tenant.blueprint_activated, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-001-CONTROL,B-001,First-party Coaching Mode,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit First-party Coaching Mode","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-002|ADM-011|CL-004|CS-001) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-001 supports tenant-scoped happy path for First-party Coaching Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-002|ADM-011|CL-004|CS-001,/tenant-blueprints/{id}/activate,"tenant.blueprint_activated, journey.version_published",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-002-CONFIG,B-002,White-label / Tenant Mode,CONFIG,Tenant Admin,Tenant Admin,configure and operate White-label / Tenant Mode,the platform can deliver White-label / Tenant Mode in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-003|ADM-005|OPS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-002 supports tenant-scoped happy path for White-label / Tenant Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-003|ADM-005|OPS-001|OPS-006,/tenants,"tenant.created, tenant.branding_updated",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-002-RUNTIME,B-002,White-label / Tenant Mode,RUNTIME,Tenant Admin,Tenant Admin,use White-label / Tenant Mode in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-003|ADM-005|OPS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-002 supports tenant-scoped happy path for White-label / Tenant Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-003|ADM-005|OPS-001|OPS-006,/tenants,"tenant.created, tenant.branding_updated",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-002-CONTROL,B-002,White-label / Tenant Mode,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit White-label / Tenant Mode","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (ADM-001|ADM-003|ADM-005|OPS-001|OPS-006) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-002 supports tenant-scoped happy path for White-label / Tenant Mode | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,ADM-001|ADM-003|ADM-005|OPS-001|OPS-006,/tenants,"tenant.created, tenant.branding_updated",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-001,MVP-S0,READY_FOR_G1_G4_HANDOFF
US-003-CONFIG,B-003,Coach Studio Web SaaS,CONFIG,Coach / Tenant Admin,Coach / Tenant Admin,configure and operate Coach Studio Web SaaS,the platform can deliver Coach Studio Web SaaS in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-001|CS-005|CS-007|CS-017|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-003 supports tenant-scoped happy path for Coach Studio Web SaaS | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-001|CS-005|CS-007|CS-017|CS-018,/coach/dashboard,"journey.draft_created, offer.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-013,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-003-RUNTIME,B-003,Coach Studio Web SaaS,RUNTIME,Coach / Tenant Admin,Coach / Tenant Admin,use Coach Studio Web SaaS in the live journey/commerce experience,the client/coach flow works end-to-end with correct access and state,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-001|CS-005|CS-007|CS-017|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-003 supports tenant-scoped happy path for Coach Studio Web SaaS | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-001|CS-005|CS-007|CS-017|CS-018,/coach/dashboard,"journey.draft_created, offer.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-013,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-003-CONTROL,B-003,Coach Studio Web SaaS,CONTROL,Platform Admin / Support,Platform Admin / Support,"inspect, support and audit Coach Studio Web SaaS","failures, permissions and incidents are diagnosable without unsafe data access",tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CS-001|CS-005|CS-007|CS-017|CS-018) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-003 supports tenant-scoped happy path for Coach Studio Web SaaS | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CS-001|CS-005|CS-007|CS-017|CS-018,/coach/dashboard,"journey.draft_created, offer.created",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-013,MVP-S1,READY_FOR_G1_G4_HANDOFF
US-004-CONFIG,B-004,Branded Client App,CONFIG,Client,Client,configure and operate Branded Client App,the platform can deliver Branded Client App in first-party and/or tenant mode without custom code,tenant exists; actor authenticated; feature enabled where required; Core/DB/Payment adapter availability explicit,Open relevant surface (CL-004|CL-005|CL-006|CL-009|CL-012) -> perform action -> backend validates tenant/access/feature guards -> persist mutation/projection -> emit event/audit -> UI updates state.,"B-004 supports tenant-scoped happy path for Branded Client App | unauthorized actor is denied before mutation | forbidden cross-tenant access returns forbidden state and audit event | successful mutation emits expected domain event when applicable | UI exposes loading, empty, error, forbidden and success states | contract tests cover primary API endpoint and validation errors",adapter unavailable; stale projection; feature disabled; tenant suspended; cross-tenant access attempt; duplicate/idempotent request; revoked access,CL-004|CL-005|CL-006|CL-009|CL-012,/member-home,"member_home.rebuilt, delivery.plan_materialized",PB_ERR_TENANT_SCOPE_DENIED|PB_ERR_AUTH_REQUIRED,unit:guard; integration:mutation+outbox; contract:api; e2e:screen flow; security:tenant isolation,PB-CURSOR-004,MVP-S1,READY_FOR_G1_G4_HANDOFF
